timestamp, gpu_util_percent, memory_used_MiB, memory_total_MiB
2026/09/15 00:08:56.525, 0, 2, 49140
2026/09/15 00:09:26.582, 0, 2, 49140
2026/09/15 00:09:56.634, 0, 2, 49140
2026/09/15 00:10:26.685, 0, 2, 49140
2026/09/15 00:10:56.738, 0, 2, 49140
2026/09/15 00:11:26.776, 0, 811, 49140
2026/09/15 00:11:56.830, 0, 2, 49140
2026/09/15 00:12:26.881, 0, 2, 49140
2026/09/15 00:12:56.932, 0, 2, 49140
2026/09/15 00:13:26.983, 0, 2, 49140
2026/09/15 00:13:57.035, 0, 831, 49140
2026/09/15 00:14:27.088, 0, 831, 49140
2026/09/15 00:14:57.139, 0, 831, 49140
2026/09/15 00:15:27.191, 0, 831, 49140
2026/09/15 00:15:57.243, 0, 845, 49140
2026/09/15 00:16:27.298, 0, 845, 49140
2026/09/15 00:16:57.350, 0, 865, 49140
2026/09/15 00:17:27.402, 0, 865, 49140
2026/09/15 00:17:57.455, 29, 865, 49140
2026/09/15 00:18:27.507, 0, 865, 49140
2026/09/15 00:18:57.559, 0, 915, 49140
2026/09/15 00:19:27.611, 29, 967, 49140
2026/09/15 00:19:57.664, 0, 967, 49140
2026/09/15 00:20:27.717, 0, 967, 49140
2026/09/15 00:20:57.769, 24, 967, 49140
2026/09/15 00:21:27.822, 0, 967, 49140
2026/09/15 00:21:57.877, 0, 967, 49140
2026/09/15 00:22:27.930, 0, 967, 49140
2026/09/15 00:22:57.982, 0, 967, 49140
2026/09/15 00:23:28.033, 0, 967, 49140
2026/09/15 00:23:58.085, 0, 967, 49140
2026/09/15 00:24:28.137, 0, 2, 49140
timestamp, gpu_util_percent, memory_used_MiB, memory_total_MiB
2026/09/15 00:28:16.583, 0, 2, 49140
2026/09/15 00:28:46.635, 0, 2, 49140
2026/09/15 00:29:16.686, 0, 839, 49140
2026/09/15 00:29:46.738, 0, 839, 49140
2026/09/15 00:30:16.789, 0, 839, 49140
2026/09/15 00:30:46.842, 0, 889, 49140
2026/09/15 00:31:16.893, 0, 889, 49140
2026/09/15 00:31:46.944, 0, 889, 49140
2026/09/15 00:32:16.994, 0, 889, 49140
2026/09/15 00:32:47.046, 0, 889, 49140
2026/09/15 00:33:17.097, 0, 889, 49140
2026/09/15 00:33:47.148, 0, 889, 49140
2026/09/15 00:34:17.200, 0, 889, 49140
2026/09/15 00:34:47.252, 0, 889, 49140
2026/09/15 00:35:17.303, 31, 889, 49140
2026/09/15 00:35:47.355, 0, 889, 49140
2026/09/15 00:36:17.407, 0, 889, 49140
2026/09/15 00:36:47.458, 0, 889, 49140
2026/09/15 00:37:17.510, 0, 889, 49140
2026/09/15 00:37:47.562, 0, 889, 49140
2026/09/15 00:38:17.617, 0, 889, 49140
2026/09/15 00:38:47.668, 0, 889, 49140
2026/09/15 00:39:17.721, 0, 889, 49140
2026/09/15 00:39:47.773, 0, 889, 49140
2026/09/15 00:40:17.824, 32, 889, 49140
2026/09/15 00:40:47.876, 0, 889, 49140
2026/09/15 00:41:17.928, 0, 889, 49140
2026/09/15 00:41:47.980, 0, 889, 49140
2026/09/15 00:42:18.032, 0, 889, 49140
2026/09/15 00:42:48.083, 0, 889, 49140
2026/09/15 00:43:18.135, 0, 889, 49140
2026/09/15 00:43:48.187, 0, 889, 49140
2026/09/15 00:44:18.238, 0, 889, 49140
2026/09/15 00:44:48.290, 0, 889, 49140
2026/09/15 00:45:18.342, 34, 889, 49140
2026/09/15 00:45:48.430, 0, 889, 49140
2026/09/15 00:46:18.482, 0, 889, 49140
2026/09/15 00:46:48.534, 0, 889, 49140
2026/09/15 00:47:18.586, 0, 889, 49140
2026/09/15 00:47:48.637, 0, 889, 49140
2026/09/15 00:48:18.691, 0, 889, 49140
2026/09/15 00:48:48.750, 0, 889, 49140
2026/09/15 00:49:18.802, 0, 889, 49140
2026/09/15 00:49:48.853, 0, 889, 49140
2026/09/15 00:50:18.905, 0, 889, 49140
2026/09/15 00:50:48.956, 0, 889, 49140
2026/09/15 00:51:19.008, 34, 889, 49140
2026/09/15 00:51:49.057, 0, 889, 49140
2026/09/15 00:52:19.108, 0, 889, 49140
2026/09/15 00:52:49.160, 0, 889, 49140
2026/09/15 00:53:19.213, 0, 889, 49140
2026/09/15 00:53:49.245, 0, 889, 49140
2026/09/15 00:54:19.296, 0, 889, 49140
2026/09/15 00:54:49.348, 0, 889, 49140
2026/09/15 00:55:19.401, 0, 889, 49140
2026/09/15 00:55:49.438, 0, 889, 49140
2026/09/15 00:56:19.490, 0, 889, 49140
2026/09/15 00:56:49.541, 0, 889, 49140
2026/09/15 00:57:19.593, 0, 889, 49140
2026/09/15 00:57:49.645, 0, 889, 49140
2026/09/15 00:58:19.696, 0, 889, 49140
2026/09/15 00:58:49.748, 0, 889, 49140
2026/09/15 00:59:19.799, 0, 889, 49140
2026/09/15 00:59:49.851, 0, 889, 49140
2026/09/15 01:00:19.902, 0, 889, 49140
2026/09/15 01:00:49.955, 0, 889, 49140
2026/09/15 01:01:20.009, 0, 949, 49140
2026/09/15 01:01:50.061, 0, 949, 49140
2026/09/15 01:02:20.113, 0, 949, 49140
2026/09/15 01:02:50.165, 0, 949, 49140
2026/09/15 01:03:20.216, 37, 949, 49140
2026/09/15 01:03:50.267, 0, 949, 49140
2026/09/15 01:04:20.318, 0, 949, 49140
2026/09/15 01:04:50.370, 0, 949, 49140
2026/09/15 01:05:20.422, 0, 949, 49140
2026/09/15 01:05:50.457, 0, 949, 49140
2026/09/15 01:06:20.508, 0, 949, 49140
2026/09/15 01:06:50.560, 0, 949, 49140
2026/09/15 01:07:20.612, 0, 949, 49140
2026/09/15 01:07:50.665, 0, 949, 49140
2026/09/15 01:08:20.716, 0, 949, 49140
2026/09/15 01:08:50.768, 0, 949, 49140
2026/09/15 01:09:20.820, 0, 949, 49140
2026/09/15 01:09:50.872, 0, 949, 49140
2026/09/15 01:10:20.923, 0, 949, 49140
2026/09/15 01:10:50.975, 0, 949, 49140
2026/09/15 01:11:21.027, 0, 949, 49140
2026/09/15 01:11:51.078, 0, 949, 49140
2026/09/15 01:12:21.129, 0, 949, 49140
2026/09/15 01:12:51.181, 0, 949, 49140
2026/09/15 01:13:21.233, 0, 949, 49140
2026/09/15 01:13:51.285, 0, 949, 49140
2026/09/15 01:14:21.337, 0, 949, 49140
2026/09/15 01:14:51.361, 0, 949, 49140
2026/09/15 01:15:21.414, 0, 949, 49140
2026/09/15 01:15:51.466, 0, 949, 49140
